account_id,kyc_status,customer_type,country,risk_rating,account_open_date,occupation,source_of_funds,pep_flag,sanctions_flag,kyc_last_review_date,evidence_source
80ACEE280,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8000DD890,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80F52D550,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80BEA98A0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8038D3520,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
801C0F2B0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80C1B9E20,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80F6B88B0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8064545E0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80662A070,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8014BDC90,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80537F610,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
806C8F2A0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80195DE20,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
801E2BC20,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
807E97240,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8009CF210,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8011AB110,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
806C7CF80,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
803FF9220,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
81114D580,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80103A420,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
802533E40,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80211F620,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8019C6830,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800A75B90,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80162B4B0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8010AA4F0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8015B5F50,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800DD9900,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8006F0580,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800587B60,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
802679190,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
801947FF0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800639010,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800ACE160,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
800AEC6D0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8020543A0,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
8018DC000,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
801A58F80,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
80048D890,VERIFIED,SYNTHETIC_DEMO_CUSTOMER,SYNTHETIC,HIGH,2020-01-15,International Trading,Business Revenue,false,false,2022-08-15,SYNTHETIC_DEMO_DATA
