complaint_id,account_id,customer_id,complaint_type,description,severity,complaint_date,status
CMP-000033,80A74DF90,CUST-0012973,Fraud Report,Customer reported an unexpected transfer.,LOW,2024-06-18,OPEN
CMP-000034,813A016C0,CUST-0026304,Unusual Account Activity,Customer reported unusual transaction activity.,LOW,2024-06-18,RESOLVED
CMP-000035,802876C00,CUST-0019109,Suspicious Transaction,Unusual account behaviour was reported.,MEDIUM,2023-05-13,OPEN
CMP-000036,801610F10,CUST-0056808,Identity Concern,Unusual account behaviour was reported.,MEDIUM,2023-11-07,UNDER_REVIEW
CMP-000037,80DAE4220,CUST-0071473,Unusual Account Activity,Customer raised an identity verification concern.,MEDIUM,2023-06-25,RESOLVED
CMP-000038,813243A80,CUST-0105010,Unauthorized Transfer,Potential fraudulent activity was reported.,CRITICAL,2024-02-13,RESOLVED
CMP-000039,811E06DD0,CUST-0094922,Fraud Report,Customer raised an identity verification concern.,CRITICAL,2023-10-28,OPEN
CMP-000040,8136EF4E0,CUST-0013484,Unauthorized Transfer,Customer reported unusual transaction activity.,HIGH,2022-09-11,OPEN
CMP-000041,812C2F870,CUST-0080898,Unusual Account Activity,Customer reported an unexpected transfer.,MEDIUM,2023-08-26,OPEN
CMP-000042,812398200,CUST-0004624,Suspicious Transaction,Customer reported an unexpected transfer.,LOW,2022-03-14,OPEN
CMP-000043,8016F7330,CUST-0037131,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2024-05-30,UNDER_REVIEW
CMP-000044,802A61E60,CUST-0098055,Identity Concern,Customer reported an unexpected transfer.,MEDIUM,2023-11-17,RESOLVED
CMP-000045,80332B030,CUST-0029160,Unusual Account Activity,Unusual account behaviour was reported.,CRITICAL,2024-08-15,OPEN
CMP-000046,801C61AA0,CUST-0035534,Identity Concern,Customer raised an identity verification concern.,MEDIUM,2024-03-14,OPEN
CMP-000047,809C05E90,CUST-0080600,Identity Concern,Potential fraudulent activity was reported.,CRITICAL,2022-04-10,UNDER_REVIEW
CMP-000048,8036FA340,CUST-0113791,Suspicious Transaction,Customer reported unusual transaction activity.,LOW,2023-04-24,UNDER_REVIEW
CMP-000049,813F01B50,CUST-0034924,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2024-01-16,OPEN
CMP-000050,8077ED650,CUST-0089565,Unusual Account Activity,Customer raised an identity verification concern.,MEDIUM,2022-07-14,UNDER_REVIEW
CMP-000051,80F29AF10,CUST-0066192,Fraud Report,Customer raised an identity verification concern.,MEDIUM,2022-07-07,OPEN
CMP-000052,8053F7440,CUST-0028826,Unusual Account Activity,Customer reported unusual transaction activity.,LOW,2023-03-30,RESOLVED
CMP-000053,811872760,CUST-0056213,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2023-07-08,OPEN
CMP-000054,811DA48F0,CUST-0060871,Identity Concern,Customer raised an identity verification concern.,MEDIUM,2023-02-21,UNDER_REVIEW
CMP-000055,80499CD20,CUST-0027020,Suspicious Transaction,Customer reported an unexpected transfer.,CRITICAL,2024-07-13,OPEN
CMP-000056,80D908290,CUST-0038487,Fraud Report,Customer raised an identity verification concern.,HIGH,2023-02-04,UNDER_REVIEW
CMP-000057,8038EE590,CUST-0072537,Unusual Account Activity,Customer raised an identity verification concern.,MEDIUM,2023-12-15,OPEN
CMP-000058,8052CC4B0,CUST-0103213,Unauthorized Transfer,Customer reported unusual transaction activity.,LOW,2022-10-31,RESOLVED
CMP-000059,8007075D0,CUST-0042738,Suspicious Transaction,Customer reported unusual transaction activity.,CRITICAL,2022-11-18,RESOLVED
CMP-000060,80A07A020,CUST-0019625,Unusual Account Activity,Customer reported an unexpected transfer.,LOW,2024-07-30,RESOLVED
CMP-000061,802A8A9E0,CUST-0109155,Unauthorized Transfer,Customer reported unusual transaction activity.,LOW,2022-03-24,RESOLVED
CMP-000062,8075FD290,CUST-0085936,Unauthorized Transfer,Customer raised an identity verification concern.,LOW,2024-06-01,RESOLVED
CMP-000063,80720EB60,CUST-0023370,Unusual Account Activity,Unusual account behaviour was reported.,LOW,2022-09-10,RESOLVED
CMP-000064,809606B20,CUST-0114560,Identity Concern,Unusual account behaviour was reported.,HIGH,2022-03-25,UNDER_REVIEW
CMP-000065,8045E8E50,CUST-0031983,Fraud Report,Customer reported an unexpected transfer.,HIGH,2022-07-29,UNDER_REVIEW
CMP-000066,80C664140,CUST-0032284,Fraud Report,Customer raised an identity verification concern.,HIGH,2022-05-15,OPEN
CMP-000067,80A599EB0,CUST-0082861,Identity Concern,Unusual account behaviour was reported.,LOW,2022-01-10,OPEN
CMP-000068,80DAB4CC0,CUST-0047779,Unauthorized Transfer,Unusual account behaviour was reported.,HIGH,2023-07-05,OPEN
CMP-000069,80E224D40,CUST-0036719,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2024-08-13,UNDER_REVIEW
CMP-000070,808757510,CUST-0078175,Unauthorized Transfer,Customer raised an identity verification concern.,HIGH,2022-10-19,RESOLVED
CMP-000071,8011511A0,CUST-0115927,Unusual Account Activity,Customer reported unusual transaction activity.,HIGH,2024-04-06,RESOLVED
CMP-000072,8085CD950,CUST-0012994,Unauthorized Transfer,Potential fraudulent activity was reported.,LOW,2022-04-17,OPEN
CMP-000073,803154530,CUST-0029881,Unusual Account Activity,Customer reported an unexpected transfer.,HIGH,2024-01-31,UNDER_REVIEW
CMP-000074,808488A40,CUST-0004339,Unauthorized Transfer,Potential fraudulent activity was reported.,MEDIUM,2023-09-12,RESOLVED
CMP-000075,80B25C750,CUST-0074952,Fraud Report,Unusual account behaviour was reported.,CRITICAL,2023-10-12,UNDER_REVIEW
CMP-000076,8023AFE40,CUST-0068464,Suspicious Transaction,Customer reported unusual transaction activity.,CRITICAL,2024-07-16,UNDER_REVIEW
CMP-000077,8094AFB30,CUST-0043992,Suspicious Transaction,Potential fraudulent activity was reported.,MEDIUM,2022-02-15,RESOLVED
CMP-000078,8014CC130,CUST-0000594,Unauthorized Transfer,Customer raised an identity verification concern.,CRITICAL,2022-09-26,RESOLVED
CMP-000079,812820DC0,CUST-0106575,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2022-01-10,RESOLVED
CMP-000080,80A134BE0,CUST-0048636,Fraud Report,Unusual account behaviour was reported.,MEDIUM,2022-02-06,UNDER_REVIEW
CMP-000081,80E185750,CUST-0006235,Suspicious Transaction,Potential fraudulent activity was reported.,HIGH,2022-05-11,OPEN
CMP-000082,80D6B2E70,CUST-0071652,Fraud Report,Customer reported an unexpected transfer.,MEDIUM,2024-07-09,RESOLVED
CMP-000083,80FF7EB70,CUST-0117820,Fraud Report,Unusual account behaviour was reported.,CRITICAL,2022-04-16,RESOLVED
CMP-000084,802C07640,CUST-0000400,Unauthorized Transfer,Customer reported an unexpected transfer.,MEDIUM,2024-02-07,OPEN
CMP-000085,8134D2D90,CUST-0088944,Identity Concern,Customer reported unusual transaction activity.,MEDIUM,2024-06-21,RESOLVED
CMP-000086,807B8D000,CUST-0043608,Fraud Report,Customer raised an identity verification concern.,MEDIUM,2024-08-04,UNDER_REVIEW
CMP-000087,80F6EEC40,CUST-0038250,Suspicious Transaction,Customer raised an identity verification concern.,LOW,2022-06-13,UNDER_REVIEW
CMP-000088,801AB8D90,CUST-0090618,Unauthorized Transfer,Customer raised an identity verification concern.,HIGH,2022-08-16,UNDER_REVIEW
CMP-000089,80A7475A0,CUST-0044301,Unauthorized Transfer,Customer reported an unexpected transfer.,LOW,2024-04-20,RESOLVED
CMP-000090,813ECB1D0,CUST-0044382,Identity Concern,Potential fraudulent activity was reported.,HIGH,2022-07-17,OPEN
CMP-000091,80DADC6C0,CUST-0047248,Fraud Report,Potential fraudulent activity was reported.,CRITICAL,2024-09-17,RESOLVED
CMP-000092,80FCF4B00,CUST-0078447,Unusual Account Activity,Potential fraudulent activity was reported.,LOW,2024-05-13,OPEN
CMP-000093,81395E2A0,CUST-0042251,Fraud Report,Customer reported an unexpected transfer.,HIGH,2024-06-17,OPEN
CMP-000094,80B41BFC0,CUST-0024419,Unusual Account Activity,Customer raised an identity verification concern.,HIGH,2022-04-22,RESOLVED
CMP-000095,8079BA4C0,CUST-0088234,Fraud Report,Customer raised an identity verification concern.,LOW,2024-03-16,UNDER_REVIEW
CMP-000096,813470A60,CUST-0088703,Unusual Account Activity,Customer reported an unexpected transfer.,HIGH,2024-07-10,OPEN
CMP-000097,808A72500,CUST-0021326,Identity Concern,Customer reported unusual transaction activity.,MEDIUM,2023-12-27,UNDER_REVIEW
CMP-000098,802D20100,CUST-0043280,Suspicious Transaction,Potential fraudulent activity was reported.,HIGH,2023-03-18,RESOLVED
CMP-000099,8090D8C80,CUST-0082485,Suspicious Transaction,Potential fraudulent activity was reported.,HIGH,2024-05-18,RESOLVED
CMP-000100,8128E8980,CUST-0038120,Fraud Report,Customer raised an identity verification concern.,HIGH,2023-02-23,RESOLVED
CMP-000101,807B2BD60,CUST-0021500,Unauthorized Transfer,Customer raised an identity verification concern.,CRITICAL,2022-05-11,RESOLVED
CMP-000102,80FF36A70,CUST-0056084,Unauthorized Transfer,Unusual account behaviour was reported.,HIGH,2024-02-06,UNDER_REVIEW
CMP-000103,8113B2C80,CUST-0024457,Suspicious Transaction,Potential fraudulent activity was reported.,HIGH,2023-07-16,OPEN
CMP-000104,803C5A010,CUST-0047126,Unusual Account Activity,Unusual account behaviour was reported.,HIGH,2023-03-17,UNDER_REVIEW
CMP-000105,81343FFF1,CUST-0053184,Identity Concern,Customer reported an unexpected transfer.,CRITICAL,2023-03-29,RESOLVED
CMP-000106,80FBABBF0,CUST-0075511,Suspicious Transaction,Potential fraudulent activity was reported.,HIGH,2022-06-23,OPEN
CMP-000107,8052255A0,CUST-0116162,Unauthorized Transfer,Potential fraudulent activity was reported.,MEDIUM,2024-04-18,OPEN
CMP-000108,80B9273C0,CUST-0107531,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2022-05-31,UNDER_REVIEW
CMP-000109,80840D710,CUST-0070829,Suspicious Transaction,Customer raised an identity verification concern.,CRITICAL,2023-09-18,RESOLVED
CMP-000110,8119BF560,CUST-0071164,Unauthorized Transfer,Customer raised an identity verification concern.,CRITICAL,2023-08-13,UNDER_REVIEW
CMP-000111,80F7FDE40,CUST-0002708,Unauthorized Transfer,Customer reported unusual transaction activity.,LOW,2022-09-07,UNDER_REVIEW
CMP-000112,80F291440,CUST-0028741,Unauthorized Transfer,Unusual account behaviour was reported.,CRITICAL,2022-08-13,OPEN
CMP-000113,8063265B0,CUST-0093940,Unauthorized Transfer,Customer reported unusual transaction activity.,CRITICAL,2023-07-25,OPEN
CMP-000114,80C6BE450,CUST-0058965,Identity Concern,Unusual account behaviour was reported.,HIGH,2024-03-31,UNDER_REVIEW
CMP-000115,80DB5CE20,CUST-0100978,Unusual Account Activity,Customer raised an identity verification concern.,CRITICAL,2023-09-20,OPEN
CMP-000116,8047714E0,CUST-0082302,Identity Concern,Customer raised an identity verification concern.,HIGH,2024-02-01,OPEN
CMP-000117,8014B1510,CUST-0057376,Fraud Report,Unusual account behaviour was reported.,CRITICAL,2024-05-10,RESOLVED
CMP-000118,80DDAB2B0,CUST-0099691,Fraud Report,Customer raised an identity verification concern.,LOW,2022-09-02,RESOLVED
CMP-000119,80D235940,CUST-0050117,Unauthorized Transfer,Potential fraudulent activity was reported.,HIGH,2022-10-20,UNDER_REVIEW
CMP-000120,80CDBB900,CUST-0002688,Unusual Account Activity,Customer reported unusual transaction activity.,MEDIUM,2024-07-03,OPEN
CMP-000121,8035BA3F0,CUST-0035556,Identity Concern,Customer reported an unexpected transfer.,MEDIUM,2022-08-25,OPEN
CMP-000122,80E943800,CUST-0063442,Identity Concern,Potential fraudulent activity was reported.,CRITICAL,2023-03-01,UNDER_REVIEW
CMP-000123,813863650,CUST-0089214,Unauthorized Transfer,Customer raised an identity verification concern.,CRITICAL,2022-03-05,RESOLVED
CMP-000124,80AD3F000,CUST-0105894,Suspicious Transaction,Unusual account behaviour was reported.,CRITICAL,2024-08-26,UNDER_REVIEW
CMP-000125,803ABB2C0,CUST-0055340,Fraud Report,Potential fraudulent activity was reported.,CRITICAL,2022-01-07,UNDER_REVIEW
CMP-000126,808BD8BA0,CUST-0096594,Unusual Account Activity,Unusual account behaviour was reported.,MEDIUM,2023-07-06,UNDER_REVIEW
CMP-000127,80998D2D0,CUST-0012718,Fraud Report,Customer raised an identity verification concern.,CRITICAL,2022-08-13,OPEN
CMP-000128,80179C4C0,CUST-0045090,Fraud Report,Customer raised an identity verification concern.,MEDIUM,2023-02-03,UNDER_REVIEW
CMP-000129,80EA22E30,CUST-0108681,Unauthorized Transfer,Unusual account behaviour was reported.,LOW,2024-07-30,UNDER_REVIEW
CMP-000130,80214CD80,CUST-0071404,Unusual Account Activity,Customer reported unusual transaction activity.,LOW,2023-08-30,RESOLVED
CMP-000131,8090C8B00,CUST-0073527,Unauthorized Transfer,Customer raised an identity verification concern.,MEDIUM,2023-03-15,OPEN
CMP-000132,804B3AE30,CUST-0055054,Identity Concern,Potential fraudulent activity was reported.,MEDIUM,2022-09-24,UNDER_REVIEW
CMP-000133,805906BA0,CUST-0005980,Fraud Report,Customer raised an identity verification concern.,HIGH,2022-12-01,UNDER_REVIEW
CMP-000134,8082774D0,CUST-0074340,Suspicious Transaction,Customer raised an identity verification concern.,LOW,2022-09-16,RESOLVED
CMP-000135,8001D49A0,CUST-0078792,Suspicious Transaction,Potential fraudulent activity was reported.,MEDIUM,2023-07-07,RESOLVED
CMP-000136,800DE0440,CUST-0011186,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2022-03-12,OPEN
CMP-000137,80C8324E0,CUST-0117896,Suspicious Transaction,Unusual account behaviour was reported.,MEDIUM,2024-05-09,OPEN
CMP-000138,805CF4B90,CUST-0087185,Identity Concern,Customer reported unusual transaction activity.,MEDIUM,2022-05-10,UNDER_REVIEW
CMP-000139,80B2E0BA0,CUST-0012331,Fraud Report,Potential fraudulent activity was reported.,MEDIUM,2023-12-18,RESOLVED
CMP-000140,8014FA230,CUST-0085904,Suspicious Transaction,Customer reported an unexpected transfer.,HIGH,2023-09-14,OPEN
CMP-000141,812875250,CUST-0016306,Suspicious Transaction,Potential fraudulent activity was reported.,CRITICAL,2023-08-16,UNDER_REVIEW
CMP-000142,80F4E3F70,CUST-0026935,Unauthorized Transfer,Customer reported unusual transaction activity.,MEDIUM,2024-08-22,OPEN
CMP-000143,80F9EAE70,CUST-0068428,Fraud Report,Unusual account behaviour was reported.,LOW,2023-12-15,RESOLVED
CMP-000144,8069B8F70,CUST-0029360,Suspicious Transaction,Potential fraudulent activity was reported.,CRITICAL,2024-03-12,RESOLVED
CMP-000145,80F0BAA30,CUST-0053226,Suspicious Transaction,Unusual account behaviour was reported.,HIGH,2023-01-15,OPEN
CMP-000146,800B80650,CUST-0030659,Identity Concern,Customer raised an identity verification concern.,LOW,2024-05-19,UNDER_REVIEW
CMP-000147,804E3CF50,CUST-0007925,Fraud Report,Customer raised an identity verification concern.,MEDIUM,2024-09-10,UNDER_REVIEW
CMP-000148,8140632F1,CUST-0061295,Unusual Account Activity,Potential fraudulent activity was reported.,CRITICAL,2022-06-30,UNDER_REVIEW
CMP-000149,80FBD9D20,CUST-0102946,Unusual Account Activity,Potential fraudulent activity was reported.,HIGH,2023-03-23,OPEN
CMP-000150,80DC27F50,CUST-0033807,Suspicious Transaction,Potential fraudulent activity was reported.,CRITICAL,2024-04-30,OPEN
CMP-000151,804E48480,CUST-0030576,Identity Concern,Unusual account behaviour was reported.,CRITICAL,2024-02-08,UNDER_REVIEW
CMP-000152,804DBB950,CUST-0055565,Identity Concern,Potential fraudulent activity was reported.,MEDIUM,2022-01-30,UNDER_REVIEW
CMP-000153,80EE80930,CUST-0029912,Fraud Report,Potential fraudulent activity was reported.,HIGH,2022-08-06,UNDER_REVIEW
CMP-000154,800325CC0,CUST-0019029,Unusual Account Activity,Potential fraudulent activity was reported.,LOW,2024-06-20,RESOLVED
CMP-000155,80DBDD830,CUST-0087693,Unauthorized Transfer,Customer reported unusual transaction activity.,MEDIUM,2024-08-28,RESOLVED
CMP-000156,80DACE200,CUST-0043558,Identity Concern,Unusual account behaviour was reported.,MEDIUM,2023-02-21,RESOLVED
CMP-000157,807400370,CUST-0058892,Identity Concern,Customer raised an identity verification concern.,LOW,2023-05-03,OPEN
CMP-000158,8095FDF00,CUST-0102604,Unauthorized Transfer,Customer raised an identity verification concern.,MEDIUM,2022-10-29,UNDER_REVIEW
CMP-000159,804619520,CUST-0082888,Unusual Account Activity,Potential fraudulent activity was reported.,CRITICAL,2023-11-11,RESOLVED
CMP-000160,8000D4140,CUST-0077278,Fraud Report,Customer raised an identity verification concern.,HIGH,2023-06-28,UNDER_REVIEW
CMP-000161,8135DC0C0,CUST-0009156,Identity Concern,Potential fraudulent activity was reported.,HIGH,2023-12-21,UNDER_REVIEW
CMP-000162,80CC9C960,CUST-0029749,Suspicious Transaction,Customer reported an unexpected transfer.,HIGH,2022-08-25,OPEN
CMP-000163,800DDA0C0,CUST-0084131,Unusual Account Activity,Customer reported an unexpected transfer.,MEDIUM,2024-01-31,OPEN
CMP-000164,80E574180,CUST-0048536,Identity Concern,Potential fraudulent activity was reported.,HIGH,2024-01-27,OPEN
CMP-000165,814352181,CUST-0029589,Unauthorized Transfer,Potential fraudulent activity was reported.,MEDIUM,2024-05-02,UNDER_REVIEW
CMP-000166,8065C5400,CUST-0088741,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2022-07-03,UNDER_REVIEW
CMP-000167,802F47490,CUST-0083581,Suspicious Transaction,Unusual account behaviour was reported.,HIGH,2022-02-16,RESOLVED
CMP-000168,810C6E850,CUST-0097059,Unauthorized Transfer,Customer raised an identity verification concern.,LOW,2024-08-24,OPEN
CMP-000169,80F69B4E0,CUST-0113025,Fraud Report,Customer raised an identity verification concern.,CRITICAL,2023-08-11,UNDER_REVIEW
CMP-000170,80153B590,CUST-0032664,Unauthorized Transfer,Customer reported unusual transaction activity.,HIGH,2022-12-15,UNDER_REVIEW
CMP-000171,801344FE0,CUST-0075730,Suspicious Transaction,Customer raised an identity verification concern.,CRITICAL,2022-04-27,OPEN
CMP-000172,801F4BF70,CUST-0067078,Suspicious Transaction,Customer reported an unexpected transfer.,MEDIUM,2023-08-14,RESOLVED
CMP-000173,801176140,CUST-0083984,Fraud Report,Customer reported unusual transaction activity.,MEDIUM,2024-08-29,OPEN
CMP-000174,80DC0CD30,CUST-0014371,Identity Concern,Unusual account behaviour was reported.,MEDIUM,2023-07-26,RESOLVED
CMP-000175,80A88D950,CUST-0002449,Identity Concern,Customer raised an identity verification concern.,HIGH,2023-01-25,RESOLVED
CMP-000176,811C80FC0,CUST-0030316,Fraud Report,Unusual account behaviour was reported.,LOW,2023-03-16,RESOLVED
CMP-000177,807ECF370,CUST-0073647,Suspicious Transaction,Customer reported an unexpected transfer.,MEDIUM,2024-09-10,UNDER_REVIEW
CMP-000178,8061AC7B0,CUST-0033736,Suspicious Transaction,Customer reported an unexpected transfer.,MEDIUM,2023-11-08,OPEN
CMP-000179,804B623F0,CUST-0091514,Suspicious Transaction,Customer reported an unexpected transfer.,LOW,2023-07-20,UNDER_REVIEW
CMP-000180,80ACCD090,CUST-0110823,Unusual Account Activity,Customer raised an identity verification concern.,HIGH,2023-04-07,OPEN
CMP-000181,803CA6390,CUST-0071602,Fraud Report,Potential fraudulent activity was reported.,CRITICAL,2022-08-26,OPEN
CMP-000182,800A5A3B0,CUST-0062459,Unauthorized Transfer,Potential fraudulent activity was reported.,MEDIUM,2023-12-05,UNDER_REVIEW
CMP-000183,80AE22790,CUST-0102494,Unusual Account Activity,Customer reported an unexpected transfer.,MEDIUM,2022-04-28,UNDER_REVIEW
CMP-000184,80DE727D0,CUST-0084801,Unauthorized Transfer,Customer reported unusual transaction activity.,LOW,2024-04-26,OPEN
CMP-000185,8001DC3C0,CUST-0053765,Fraud Report,Unusual account behaviour was reported.,HIGH,2024-03-22,UNDER_REVIEW
CMP-000186,80EBABAA0,CUST-0018645,Identity Concern,Potential fraudulent activity was reported.,CRITICAL,2022-05-08,UNDER_REVIEW
CMP-000187,80DDC8B40,CUST-0005542,Unusual Account Activity,Customer raised an identity verification concern.,CRITICAL,2023-05-28,OPEN
CMP-000188,8028199A0,CUST-0029343,Suspicious Transaction,Customer raised an identity verification concern.,HIGH,2023-09-05,RESOLVED
CMP-000189,80E6385A0,CUST-0001645,Suspicious Transaction,Customer reported unusual transaction activity.,MEDIUM,2022-09-14,RESOLVED
CMP-000190,812499730,CUST-0115024,Unusual Account Activity,Unusual account behaviour was reported.,LOW,2024-05-06,RESOLVED
CMP-000191,8005E4980,CUST-0093143,Fraud Report,Unusual account behaviour was reported.,LOW,2024-04-21,OPEN
CMP-000192,8001F95B0,CUST-0112637,Unusual Account Activity,Customer raised an identity verification concern.,HIGH,2023-04-27,OPEN
CMP-000193,8077FE5D0,CUST-0061434,Identity Concern,Customer raised an identity verification concern.,LOW,2023-08-23,UNDER_REVIEW
CMP-000194,80D906560,CUST-0005327,Identity Concern,Potential fraudulent activity was reported.,HIGH,2022-12-23,RESOLVED
CMP-000195,800717F40,CUST-0001939,Unauthorized Transfer,Potential fraudulent activity was reported.,CRITICAL,2022-04-18,RESOLVED
CMP-000196,80B978670,CUST-0073011,Fraud Report,Customer raised an identity verification concern.,LOW,2023-05-23,UNDER_REVIEW
CMP-000197,8112C1000,CUST-0064617,Fraud Report,Potential fraudulent activity was reported.,HIGH,2022-04-01,OPEN
CMP-000198,80B4FDAE0,CUST-0084825,Identity Concern,Unusual account behaviour was reported.,LOW,2024-09-20,RESOLVED
CMP-000199,80F4F7090,CUST-0008559,Unusual Account Activity,Customer raised an identity verification concern.,CRITICAL,2024-06-09,OPEN
CMP-000200,80BDF5A10,CUST-0029627,Unusual Account Activity,Potential fraudulent activity was reported.,CRITICAL,2022-07-12,RESOLVED
CMP-000201,810248670,CUST-0073690,Suspicious Transaction,Customer reported an unexpected transfer.,HIGH,2023-03-29,RESOLVED
CMP-000202,804C6CCE0,CUST-0020941,Fraud Report,Customer raised an identity verification concern.,CRITICAL,2022-05-15,OPEN
CMP-000203,805FE7030,CUST-0037979,Unusual Account Activity,Customer reported an unexpected transfer.,MEDIUM,2022-01-30,UNDER_REVIEW
CMP-000204,804A8AD20,CUST-0034351,Suspicious Transaction,Unusual account behaviour was reported.,CRITICAL,2023-07-19,OPEN
CMP-000205,8017B1960,CUST-0081921,Suspicious Transaction,Customer raised an identity verification concern.,LOW,2022-08-19,RESOLVED
CMP-000206,8006981F0,CUST-0041343,Unauthorized Transfer,Customer raised an identity verification concern.,HIGH,2024-05-02,RESOLVED
CMP-000207,808361270,CUST-0004819,Fraud Report,Customer raised an identity verification concern.,CRITICAL,2023-12-24,UNDER_REVIEW
CMP-000208,80E88C890,CUST-0113311,Identity Concern,Unusual account behaviour was reported.,MEDIUM,2022-09-07,UNDER_REVIEW
CMP-000209,810057700,CUST-0076120,Unusual Account Activity,Unusual account behaviour was reported.,MEDIUM,2022-07-15,OPEN
CMP-000210,8025C8A40,CUST-0066580,Identity Concern,Potential fraudulent activity was reported.,HIGH,2022-10-10,OPEN
CMP-000211,807DE95D0,CUST-0098051,Fraud Report,Unusual account behaviour was reported.,CRITICAL,2022-10-17,OPEN
CMP-000212,8080A3360,CUST-0071308,Unusual Account Activity,Customer raised an identity verification concern.,HIGH,2023-04-03,UNDER_REVIEW
