relationship_id,account_id,connected_account_id,relationship_type,ownership_percentage,relationship_start_date
REL-0000057,802F6A250,80D9A8330,BENEFICIAL_OWNER,20.8,2023-06-13
REL-0000058,814312B51,80BB2DBC0,AUTHORIZED_USER,90.73,2019-11-06
REL-0000059,806F8A120,80592DC70,AUTHORIZED_USER,30.19,2023-02-07
REL-0000060,812903530,80C93B0E0,BUSINESS_ASSOCIATE,67.88,2023-06-17
REL-0000061,80E0B7D70,80869A460,RELATED_ACCOUNT,25.68,2018-08-28
REL-0000062,80D37CA60,801586200,BUSINESS_ASSOCIATE,10.79,2021-07-08
REL-0000063,80A28EB80,80D604BC0,BUSINESS_ASSOCIATE,50.29,2023-12-16
REL-0000064,801EA2CE0,813E9B3B1,BUSINESS_ASSOCIATE,12.61,2020-02-01
REL-0000065,806481460,812B155A0,SHARED_OWNER,69.15,2020-08-21
REL-0000066,80EE92910,800090BA0,BUSINESS_ASSOCIATE,28.39,2024-09-01
REL-0000067,809103F70,80F554B90,SHARED_OWNER,44.83,2024-07-18
REL-0000068,806143410,8026C4FE0,RELATED_ACCOUNT,93.8,2020-04-16
REL-0000069,813B5DB41,80E580290,RELATED_ACCOUNT,27.68,2022-06-10
REL-0000070,80BC08370,8090DECD0,RELATED_ACCOUNT,48.44,2018-10-25
REL-0000071,806B4DED0,810A87160,BUSINESS_ASSOCIATE,99.85,2019-02-14
REL-0000072,803E187F0,8084654F0,BENEFICIAL_OWNER,53.06,2019-06-27
REL-0000073,809B851D0,8007605E0,SHARED_OWNER,88.53,2022-02-22
REL-0000074,807528280,813AD6DB0,AUTHORIZED_USER,84.21,2021-05-24
REL-0000075,813E59871,8090F7860,BUSINESS_ASSOCIATE,5.74,2024-03-21
REL-0000076,80D638FD0,8013AF3E0,SHARED_OWNER,94.2,2019-07-05
REL-0000077,809751DD0,806387480,SHARED_OWNER,75.53,2019-09-29
REL-0000078,813D29BD1,8090A1CA0,BUSINESS_ASSOCIATE,25.01,2021-11-05
REL-0000079,802934F10,8110E8CC0,RELATED_ACCOUNT,53.01,2020-10-25
REL-0000080,80034E600,80AFC51F0,SHARED_OWNER,13.77,2022-10-01
REL-0000081,802F753A0,802EE07B0,SHARED_OWNER,5.34,2019-06-20
REL-0000082,8021D4C90,800AD1EF0,BENEFICIAL_OWNER,75.42,2024-03-09
REL-0000083,80237B630,8142BFEA1,BUSINESS_ASSOCIATE,5.92,2018-11-05
REL-0000084,80F426740,810183CE0,BENEFICIAL_OWNER,56.83,2022-02-21
REL-0000085,808363AA0,8003F9E60,BENEFICIAL_OWNER,45.83,2018-06-21
REL-0000086,811E43B50,80023FEE0,SHARED_OWNER,90.4,2020-05-10
REL-0000087,80D59BDC0,80B462AD0,SHARED_OWNER,38.6,2024-04-12
REL-0000088,808BE9800,814731FA1,AUTHORIZED_USER,97.51,2019-09-26
REL-0000089,805960380,804CED2E0,BENEFICIAL_OWNER,97.74,2019-12-27
REL-0000090,8133D7130,80C10CB30,SHARED_OWNER,22.04,2021-09-22
REL-0000091,814435391,80A752E60,BENEFICIAL_OWNER,30.35,2019-03-19
REL-0000092,806CFCDB0,81083A450,SHARED_OWNER,86.57,2020-06-30
REL-0000093,813416640,80F118AD0,AUTHORIZED_USER,38.22,2020-07-21
REL-0000094,80F1F5390,810A92090,BENEFICIAL_OWNER,42.85,2021-02-15
REL-0000095,8004559B0,8115E2F50,RELATED_ACCOUNT,38.36,2023-09-18
REL-0000096,802AD80E0,8015780F0,BUSINESS_ASSOCIATE,36.46,2018-04-24
REL-0000097,8111EE070,8076FB8A0,RELATED_ACCOUNT,21.96,2020-12-23
REL-0000098,80222FE80,8025D4500,BUSINESS_ASSOCIATE,46.28,2021-07-08
REL-0000099,800D10880,8123123E0,BUSINESS_ASSOCIATE,15.99,2024-06-19
REL-0000100,807CFE750,8090A34F0,SHARED_OWNER,72.33,2018-01-07
REL-0000101,8094C2480,80EB726B0,BUSINESS_ASSOCIATE,70.25,2020-03-18
REL-0000102,80FD33440,800CBCC90,SHARED_OWNER,95.14,2021-09-14
REL-0000103,807594A00,80601BFE0,SHARED_OWNER,73.38,2021-05-15
REL-0000104,80F7C6200,8051D94A0,AUTHORIZED_USER,35.99,2021-04-26
REL-0000105,8091B3FC0,806F53691,BENEFICIAL_OWNER,44.94,2022-04-02
REL-0000106,811FBF2F0,80C7F6D70,BENEFICIAL_OWNER,63.47,2021-05-17
REL-0000107,80F0BAA30,80004EB70,SHARED_OWNER,33.87,2020-05-10
REL-0000108,805773DC0,8096FD5F0,BUSINESS_ASSOCIATE,62.63,2021-08-12
REL-0000109,80989CA20,80D4827D0,AUTHORIZED_USER,69.18,2023-09-25
REL-0000110,80AAC6FC0,80255DA40,BENEFICIAL_OWNER,67.59,2021-03-08
REL-0000111,803AF2170,8012DD660,BUSINESS_ASSOCIATE,36.84,2020-08-20
REL-0000112,802DF8D80,801A4A000,BENEFICIAL_OWNER,81.62,2019-08-27
REL-0000113,813A83061,80CE7C950,BENEFICIAL_OWNER,98.47,2018-10-26
REL-0000114,8070043E0,80CF3A700,BUSINESS_ASSOCIATE,23.47,2022-04-22
REL-0000115,801064110,810B6F7D0,BENEFICIAL_OWNER,19.02,2018-01-23
REL-0000116,814033811,813D7ACC1,SHARED_OWNER,78.95,2020-06-15
REL-0000117,81283BCF0,8006DEE20,BUSINESS_ASSOCIATE,49.13,2024-04-02
REL-0000118,804F52210,800BD6A00,SHARED_OWNER,48.36,2023-03-19
REL-0000119,80FB361C0,80BFCE6C0,BUSINESS_ASSOCIATE,61.57,2022-12-18
REL-0000120,807AAF140,81013D280,BUSINESS_ASSOCIATE,45.54,2024-02-23
REL-0000121,8091FE6B0,8015DFFE0,BENEFICIAL_OWNER,75.65,2023-04-29
REL-0000122,80E83A0D0,813C9E991,BENEFICIAL_OWNER,84.79,2021-02-09
REL-0000123,80584D120,80B2130B0,BUSINESS_ASSOCIATE,51.04,2020-09-06
REL-0000124,80F23E520,801F9CC10,SHARED_OWNER,72.79,2020-08-18
REL-0000125,814321211,806126010,RELATED_ACCOUNT,89.84,2018-11-27
REL-0000126,805BBC7A0,800BBD490,BENEFICIAL_OWNER,41.39,2019-09-18
REL-0000127,8071A0D40,81249F1A0,SHARED_OWNER,44.41,2021-09-17
REL-0000128,801BC08A0,8116C5810,AUTHORIZED_USER,10.92,2022-09-17
REL-0000129,803BABC90,803AFFD40,BUSINESS_ASSOCIATE,94.88,2018-03-22
REL-0000130,80D090CC0,804F28F80,BUSINESS_ASSOCIATE,41.14,2018-01-25
REL-0000131,80FD32F00,8013C8730,AUTHORIZED_USER,86.08,2022-09-13
REL-0000132,801839830,801783810,BUSINESS_ASSOCIATE,80.99,2020-06-22
REL-0000133,809242DE0,813B0CFC0,RELATED_ACCOUNT,46.4,2018-04-29
REL-0000134,80B690C70,802B01CD0,AUTHORIZED_USER,73.8,2023-03-30
REL-0000135,800612B70,8093702E0,BUSINESS_ASSOCIATE,7.56,2022-06-02
REL-0000136,802E6E910,80BB8A450,SHARED_OWNER,12.98,2022-10-22
REL-0000137,812B22330,80C9D58E0,AUTHORIZED_USER,22.26,2020-12-01
REL-0000138,8024543F0,803BAD4F0,BENEFICIAL_OWNER,48.2,2021-10-14
REL-0000139,803CC7280,80FCBE020,AUTHORIZED_USER,31.43,2022-09-23
REL-0000140,80514E750,80C4F50E0,SHARED_OWNER,49.68,2024-01-19
REL-0000141,80CF7D660,801442550,BENEFICIAL_OWNER,66.76,2018-06-14
REL-0000142,81211EBC0,800B047D0,BENEFICIAL_OWNER,23.94,2018-03-25
REL-0000143,801CDEFB0,811374FD0,BENEFICIAL_OWNER,16.99,2019-04-14
REL-0000144,80E44CD80,81021AE80,AUTHORIZED_USER,71.45,2022-02-19
REL-0000145,80D64F640,80289CEA0,BUSINESS_ASSOCIATE,96.55,2019-04-15
REL-0000146,80154CA60,8111E5EE0,BENEFICIAL_OWNER,96.65,2019-03-19
REL-0000147,802E7D740,804382D30,RELATED_ACCOUNT,59.7,2022-03-18
REL-0000148,80F5EC2D0,813C67281,BENEFICIAL_OWNER,12.22,2020-09-21
REL-0000149,806F6CD80,8078DEFB0,RELATED_ACCOUNT,85.78,2024-09-25
REL-0000150,80157E4B0,8074DB6B0,BUSINESS_ASSOCIATE,79.35,2021-11-23
REL-0000151,80310AC40,811C599A0,RELATED_ACCOUNT,11.55,2021-10-29
REL-0000152,80AEA2950,812F5F750,AUTHORIZED_USER,83.12,2019-03-09
REL-0000153,81311DC50,814021CD1,AUTHORIZED_USER,72.19,2022-11-19
REL-0000154,808018990,80D7CA2C0,BUSINESS_ASSOCIATE,96.72,2021-01-11
REL-0000155,810BD0430,80F339520,BUSINESS_ASSOCIATE,78.59,2023-03-20
REL-0000156,80645DA30,800474CD0,BUSINESS_ASSOCIATE,30.5,2020-10-02
REL-0000157,8022885A0,806E59E70,RELATED_ACCOUNT,88.75,2020-09-25
REL-0000158,804273E20,809A4F000,BUSINESS_ASSOCIATE,62.98,2022-04-02
REL-0000159,8091C97E0,8010B6160,AUTHORIZED_USER,85.84,2020-01-15
REL-0000160,81232E480,803FF9220,RELATED_ACCOUNT,80.79,2021-10-26
REL-0000161,8048E3660,80027C4C0,BUSINESS_ASSOCIATE,71.61,2021-02-05
REL-0000162,8141CE890,806A0C8C0,BUSINESS_ASSOCIATE,95.07,2018-12-17
REL-0000163,8017073B0,803B5F370,AUTHORIZED_USER,51.41,2020-09-11
REL-0000164,801FFD5D0,8011E0EA0,AUTHORIZED_USER,47.58,2018-03-12
REL-0000165,803A23500,803A872C0,BENEFICIAL_OWNER,43.42,2020-09-23
REL-0000166,8075C96F0,800C8D890,BUSINESS_ASSOCIATE,40.06,2024-03-17
REL-0000167,8012F0E60,8019AC290,AUTHORIZED_USER,99.68,2024-03-04
REL-0000168,8129D7050,80747F810,AUTHORIZED_USER,30.74,2020-10-26
REL-0000169,801B9EF60,8000F53E0,BENEFICIAL_OWNER,34.98,2024-01-04
REL-0000170,80CBC7170,80416BE80,BENEFICIAL_OWNER,23.2,2023-06-07
REL-0000171,807109540,802BE4C90,BUSINESS_ASSOCIATE,97.78,2023-11-19
REL-0000172,800461FF0,805A73F90,SHARED_OWNER,84.1,2021-04-28
REL-0000173,809AEEF80,80E019FB0,BENEFICIAL_OWNER,33.72,2023-12-28
REL-0000174,80E451F80,8092FD180,SHARED_OWNER,97.56,2024-03-16
REL-0000175,801704800,80A3C6E30,BENEFICIAL_OWNER,65.6,2023-07-04
REL-0000176,80949DE30,81377B671,SHARED_OWNER,59.54,2023-04-07
REL-0000177,805547E90,805A73400,RELATED_ACCOUNT,22.51,2018-07-30
REL-0000178,8004A5640,80B6D63C0,AUTHORIZED_USER,15.84,2018-09-25
REL-0000179,813A76990,8127E5C30,SHARED_OWNER,59.82,2018-08-08
REL-0000180,8100521D0,811820510,BUSINESS_ASSOCIATE,95.17,2018-12-15
REL-0000181,812CBC0C0,800826B50,BUSINESS_ASSOCIATE,77.62,2024-10-19
REL-0000182,80F4677F0,80C3A5920,BUSINESS_ASSOCIATE,26.44,2023-11-11
REL-0000183,80E734D90,801AC1540,AUTHORIZED_USER,33.25,2024-08-07
REL-0000184,80A2E46C0,8090AC860,BUSINESS_ASSOCIATE,64.0,2024-11-02
REL-0000185,80C9E9240,8048E5370,BENEFICIAL_OWNER,64.42,2020-12-19
REL-0000186,804E4F5E0,80FF64240,BENEFICIAL_OWNER,27.79,2024-03-10
REL-0000187,80CFF1770,81195E220,SHARED_OWNER,43.81,2024-08-29
REL-0000188,81418CA30,808213390,SHARED_OWNER,26.99,2021-03-04
REL-0000189,80BCDD930,80B7D8520,AUTHORIZED_USER,11.76,2020-08-14
REL-0000190,81367E8F0,801C6DF60,BUSINESS_ASSOCIATE,67.81,2020-03-21
REL-0000191,811C38720,813D9FAD1,BUSINESS_ASSOCIATE,26.36,2019-09-03
REL-0000192,813EA3AB1,81029B1B0,BENEFICIAL_OWNER,11.78,2019-11-11
REL-0000193,809544300,80EEC0EC0,BUSINESS_ASSOCIATE,76.15,2024-05-20
REL-0000194,80A5D9760,80AFDBD70,SHARED_OWNER,49.53,2021-05-30
REL-0000195,808AE2A80,8059B8170,RELATED_ACCOUNT,52.54,2023-07-16
REL-0000196,80529F610,80DF9E0B0,BUSINESS_ASSOCIATE,8.79,2022-11-05
REL-0000197,802BBE0F0,811208390,BUSINESS_ASSOCIATE,28.78,2019-01-10
REL-0000198,808D2FD80,810CDE9C0,BUSINESS_ASSOCIATE,60.78,2018-03-26
REL-0000199,80DBA2000,80385E0D0,RELATED_ACCOUNT,59.74,2019-12-19
REL-0000200,801B1EA20,8010492C0,AUTHORIZED_USER,92.03,2020-01-14
REL-0000201,80B2FCCF0,804266260,AUTHORIZED_USER,97.06,2023-04-10
REL-0000202,807736750,80434BAF0,RELATED_ACCOUNT,35.5,2019-03-05
REL-0000203,80A322020,802610690,RELATED_ACCOUNT,44.11,2023-07-23
REL-0000204,8135A2220,8040F1470,AUTHORIZED_USER,82.29,2024-03-03
REL-0000205,8142C13D0,8124D0EC0,SHARED_OWNER,34.88,2021-08-17
REL-0000206,80388C030,80BE6A590,AUTHORIZED_USER,87.17,2018-01-05
REL-0000207,80CC42C90,8138E8820,BUSINESS_ASSOCIATE,48.89,2018-08-11
REL-0000208,803371D20,80F9BE800,RELATED_ACCOUNT,64.15,2023-08-04
REL-0000209,8000D1360,808DEC6E0,SHARED_OWNER,24.34,2024-02-28
REL-0000210,80B5907B0,80C61EF50,AUTHORIZED_USER,88.68,2023-06-09
REL-0000211,80AD6F3D0,805754030,BUSINESS_ASSOCIATE,80.93,2019-10-11
REL-0000212,813A37EB0,8008D1E20,SHARED_OWNER,57.46,2019-01-17
REL-0000213,814927791,8141E7EA0,SHARED_OWNER,48.84,2019-04-27
REL-0000214,8102613D0,811663900,BENEFICIAL_OWNER,52.35,2021-04-10
REL-0000215,8005D7800,800652C00,RELATED_ACCOUNT,44.47,2023-05-31
REL-0000216,802F426F0,8069D3270,AUTHORIZED_USER,57.37,2022-04-21
REL-0000217,810C546C0,802D93300,BUSINESS_ASSOCIATE,75.9,2019-07-14
REL-0000218,800B79F80,80E9C9FB0,RELATED_ACCOUNT,78.4,2022-08-27
REL-0000219,803CAF940,80ADDE6A0,BUSINESS_ASSOCIATE,30.38,2018-01-11
REL-0000220,80A278930,80E4F5270,RELATED_ACCOUNT,84.56,2024-07-03
REL-0000221,809C63740,811640DB0,BENEFICIAL_OWNER,47.42,2023-06-07
REL-0000222,811F7F770,8125B8C40,BUSINESS_ASSOCIATE,77.47,2022-03-26
REL-0000223,809C63FB0,8060AD100,BENEFICIAL_OWNER,98.17,2020-09-05
REL-0000224,8146CE2C1,80E6AF3A0,BENEFICIAL_OWNER,86.32,2022-08-10
REL-0000225,800086DC0,804D973C0,AUTHORIZED_USER,72.0,2022-04-11
REL-0000226,803F3B480,8030B7870,BENEFICIAL_OWNER,52.06,2018-06-01
REL-0000227,80E11C800,8015F49A0,BUSINESS_ASSOCIATE,36.54,2019-02-16
REL-0000228,801E5CF90,809D3C820,AUTHORIZED_USER,14.47,2023-02-15
REL-0000229,80122A510,800E656D0,BENEFICIAL_OWNER,43.95,2019-09-25
REL-0000230,80E0D33B0,801761AB0,RELATED_ACCOUNT,37.16,2022-06-17
REL-0000231,8001BFE30,811FE9FE0,RELATED_ACCOUNT,85.97,2023-12-26
REL-0000232,8124C5E50,80A6DE170,AUTHORIZED_USER,87.88,2018-05-28
REL-0000233,801562DF0,807707440,BENEFICIAL_OWNER,64.96,2021-03-23
REL-0000234,807DDD690,80A28A1F0,SHARED_OWNER,46.23,2019-02-08
REL-0000235,80F6152B0,80BDAE310,SHARED_OWNER,47.15,2021-05-11
REL-0000236,80C57F910,80CD23A60,SHARED_OWNER,35.82,2018-08-18
REL-0000237,801A29950,809679A10,RELATED_ACCOUNT,45.92,2020-09-27
REL-0000238,80C2DCAE0,80B1D12B0,BUSINESS_ASSOCIATE,69.77,2020-01-08
REL-0000239,80D694570,8128049D0,SHARED_OWNER,62.9,2022-04-16
REL-0000240,80AA779D0,808BC66C0,BENEFICIAL_OWNER,52.28,2024-07-16
REL-0000241,80AAA6900,800420F50,AUTHORIZED_USER,65.6,2023-02-26
REL-0000242,811976A40,80126FD20,SHARED_OWNER,90.4,2023-03-21
REL-0000243,80C8589F0,80EECCB10,BUSINESS_ASSOCIATE,20.01,2022-12-15
REL-0000244,81281F090,809542630,RELATED_ACCOUNT,65.7,2022-10-04
REL-0000245,80AAEC3B0,800C978A0,AUTHORIZED_USER,85.3,2020-03-26
REL-0000246,808B97E20,807AF4EC0,AUTHORIZED_USER,15.13,2022-04-12
REL-0000247,805F4F100,80EE7B190,BUSINESS_ASSOCIATE,33.11,2021-04-24
REL-0000248,8108E1B30,802548170,AUTHORIZED_USER,31.08,2024-05-07
REL-0000249,8076FAC80,8090E6080,SHARED_OWNER,91.51,2023-07-28
REL-0000250,80D4753F0,803C729C0,RELATED_ACCOUNT,78.7,2020-07-31
REL-0000251,804155180,80536D240,RELATED_ACCOUNT,25.81,2020-02-18
REL-0000252,80BCE89B0,80AC942C0,BENEFICIAL_OWNER,64.68,2018-06-11
REL-0000253,8138A94B0,8043CC1C0,AUTHORIZED_USER,8.17,2022-02-03
REL-0000254,811D31130,81315C690,SHARED_OWNER,91.41,2021-08-31
REL-0000255,80A204E00,811657190,BENEFICIAL_OWNER,24.08,2024-01-19
REL-0000256,8037CE160,804287A30,BUSINESS_ASSOCIATE,52.67,2021-01-21
REL-0000257,801341F20,810014BE0,RELATED_ACCOUNT,91.83,2023-05-28
REL-0000258,8080D72A0,80FE0C010,RELATED_ACCOUNT,81.4,2023-04-03
REL-0000259,802320210,800DE2FB0,BENEFICIAL_OWNER,86.71,2022-06-16
REL-0000260,810932AC0,80D7C36B0,BUSINESS_ASSOCIATE,39.75,2022-06-05
REL-0000261,8088A0F20,803F8A050,BUSINESS_ASSOCIATE,16.74,2022-02-18
REL-0000262,80B13AF10,8147B6F41,RELATED_ACCOUNT,60.53,2022-03-02
REL-0000263,809D592E0,813CDD0D1,BENEFICIAL_OWNER,49.79,2024-04-18
REL-0000264,803701C00,8140CABF1,BENEFICIAL_OWNER,66.53,2023-03-17
REL-0000265,806407110,80BF090A0,AUTHORIZED_USER,16.08,2018-07-05
REL-0000266,806037F70,80DA15100,AUTHORIZED_USER,16.03,2020-08-19
REL-0000267,802C4B420,808C61AB0,BENEFICIAL_OWNER,41.92,2022-02-28
REL-0000268,8006DED80,80EAA8D40,BUSINESS_ASSOCIATE,44.82,2019-09-25
REL-0000269,810CFF630,81358E380,SHARED_OWNER,84.2,2022-07-30
REL-0000270,805C6A390,806388360,RELATED_ACCOUNT,25.64,2022-12-27
REL-0000271,8018A9B11,806C70520,RELATED_ACCOUNT,14.44,2022-02-13
REL-0000272,811BCF2E0,812474340,RELATED_ACCOUNT,10.75,2021-02-04
REL-0000273,80E400DA0,80F351520,AUTHORIZED_USER,13.71,2020-05-18
REL-0000274,80614EA60,80EE8E2A0,BUSINESS_ASSOCIATE,97.25,2018-07-27
REL-0000275,813769F31,812FC01F0,BENEFICIAL_OWNER,98.94,2024-05-01
REL-0000276,8050B7D30,80D5F2D10,BUSINESS_ASSOCIATE,24.68,2020-06-03
REL-0000277,813072910,8141F7AF0,BENEFICIAL_OWNER,36.21,2019-08-28
REL-0000278,8004EF8E0,8025CB0C0,BUSINESS_ASSOCIATE,5.27,2019-08-16
REL-0000279,806E10B40,8076CCD20,RELATED_ACCOUNT,80.86,2019-03-27
REL-0000280,80693DD00,8027A1530,SHARED_OWNER,17.52,2022-01-07
REL-0000281,805B0B2E0,804799050,BENEFICIAL_OWNER,60.94,2018-03-06
REL-0000282,8014BFC60,808B33A20,SHARED_OWNER,17.04,2022-09-21
REL-0000283,80168E400,813172BD0,SHARED_OWNER,50.24,2022-01-22
REL-0000284,80C414910,80F3097E0,SHARED_OWNER,47.94,2020-06-26
REL-0000285,80A731D00,8067982B0,BUSINESS_ASSOCIATE,33.65,2018-05-08
REL-0000286,800B14C40,8090C58E0,AUTHORIZED_USER,45.5,2019-03-19
REL-0000287,8114A5DA0,80746BA40,AUTHORIZED_USER,11.98,2018-11-27
REL-0000288,812354470,80AFE7FF0,BENEFICIAL_OWNER,11.24,2021-01-31
REL-0000289,80BEBF5A0,80F12ADD0,BUSINESS_ASSOCIATE,57.09,2021-08-24
REL-0000290,805735B80,80C647BB0,BUSINESS_ASSOCIATE,33.02,2023-09-02
REL-0000291,805BF4000,806694250,SHARED_OWNER,80.34,2019-04-14
REL-0000292,811BD8DA0,8092D4EC0,BUSINESS_ASSOCIATE,73.48,2020-05-30
REL-0000293,80E8BD610,80FD39930,BENEFICIAL_OWNER,44.31,2023-02-01
REL-0000294,80471B8E0,805E920D0,SHARED_OWNER,34.69,2021-07-04
REL-0000295,806398D70,8004F3240,RELATED_ACCOUNT,95.59,2023-04-27
REL-0000296,80D40E7A0,8044D71F0,SHARED_OWNER,13.86,2019-01-31
REL-0000297,814773F71,80085A200,RELATED_ACCOUNT,82.12,2024-03-28
REL-0000298,8001882D0,80976AA40,BUSINESS_ASSOCIATE,58.36,2019-05-16
REL-0000299,81403F7F1,80099F520,AUTHORIZED_USER,87.47,2018-07-30
REL-0000300,80EECCB10,80FF5F9E0,RELATED_ACCOUNT,38.41,2024-06-25
REL-0000301,80FB94190,813B1E021,BENEFICIAL_OWNER,67.39,2020-07-07
REL-0000302,801FD97F0,804D1DA80,RELATED_ACCOUNT,85.31,2022-02-14
REL-0000303,8006263A0,806A09070,RELATED_ACCOUNT,59.54,2022-10-24
REL-0000304,80D6BDE50,8090C8B00,BUSINESS_ASSOCIATE,63.29,2024-03-30
REL-0000305,803443A60,80B283170,RELATED_ACCOUNT,7.75,2021-01-24
REL-0000306,80762FE20,8039C5880,RELATED_ACCOUNT,92.55,2021-12-08
REL-0000307,8002007A0,80C70B910,BENEFICIAL_OWNER,58.8,2022-06-30
REL-0000308,8130B0840,80724E840,SHARED_OWNER,13.72,2023-12-13
REL-0000309,80EDFAE30,805760140,AUTHORIZED_USER,48.1,2019-10-07
REL-0000310,800AB34D0,813ED3000,RELATED_ACCOUNT,78.8,2024-05-13
REL-0000311,8096D5730,80DC085E0,SHARED_OWNER,19.78,2018-07-23
REL-0000312,80005EC70,80B545380,RELATED_ACCOUNT,47.1,2022-10-03
REL-0000313,804D16560,802172C90,AUTHORIZED_USER,44.35,2020-06-01
REL-0000314,81315FA40,80C0689E0,SHARED_OWNER,37.79,2019-03-31
REL-0000315,80A740910,8135BDF30,BUSINESS_ASSOCIATE,51.23,2021-06-17
REL-0000316,8142C6970,807647D30,AUTHORIZED_USER,98.52,2018-08-13
REL-0000317,808499CF0,8128B6960,RELATED_ACCOUNT,94.81,2019-07-17
