account_key,account_id,bank_id,bank_name,entity_id,entity_name
1686:80C034B10,80C034B10,1686,Brownstone Credit Union,80019D860,Sole Proprietorship #15491
1729:8006B6090,8006B6090,1729,Willows Bancorp,8000E7320,Partnership #1137
36071:810B673A0,810B673A0,36071,Germany Bank #787,80094F4F0,Corporation #26264
343880:810BFA420,810BFA420,343880,Israel Bank #935,800EC1E80,Sole Proprietorship #45573
314160:805359820,805359820,314160,India Bank #440,800B3A830,Corporation #31439
7:804F803A0,804F803A0,7,India Bank #25,800ABA660,Partnership #32618
219449:80A1C9CA0,80A1C9CA0,219449,Spain Bank #309,800832B50,Partnership #25697
13057:8025180A0,8025180A0,13057,France Bank #35,8006C3BA0,Partnership #3174
1068:80D1A1620,80D1A1620,1068,National Bank of Detroit,800D9D390,Corporation #708
6129:8051BF8A0,8051BF8A0,6129,National Bank of Boston,800D3EEF0,Corporation #1588
1457:80252D8A0,80252D8A0,1457,National Bank of Helena,800CA4D00,Sole Proprietorship #5217
9665:80E92E0A0,80E92E0A0,9665,Japan Bank #42,800A5D540,Sole Proprietorship #49806
43923:8110DC9A0,8110DC9A0,43923,Italy Bank #321,800977970,Corporation #26826
2454:801D4CB20,801D4CB20,2454,Spruce Community Bank,8001EA380,Sole Proprietorship #4401
9417:8075264B0,8075264B0,9417,China Bank #23,8009BE590,Corporation #53938
348286:812003F30,812003F30,348286,Saudi Arabia Bank #433,800F1BC50,Partnership #38226
36922:802901D30,802901D30,36922,Germany Bank #1776,800674C60,Corporation #23083
15:803A007B0,803A007B0,15,Japan Bank #0,800A96680,Sole Proprietorship #31592
24144:8027F2830,8027F2830,24144,France Bank #52,8008B1D30,Partnership #41067
11:8003805B0,8003805B0,11,Finland Bank #0,80067DF20,Corporation #28009
153502:8140BCF31,8140BCF31,153502,Crytpo Bank #23,8005AB290,Sole Proprietorship #39511
126:814103F31,814103F31,126,Crytpo Bank #5,800FE9980,Country #1
36868:80DB80230,80DB80230,36868,Portugal Bank #1649,8014E6BD0,Corporation #18817
27755:80A2E35B0,80A2E35B0,27755,Australia Bank #47,800CCD520,Corporation #33736
13959:80C8B43B0,80C8B43B0,13959,Belgium Bank #258,8006A4020,Partnership #25972
24550:80B2FF330,80B2FF330,24550,National Bank of Springfield,800D84B20,Corporation #12767
153502:8140BCF30,8140BCF30,153502,Crytpo Bank #23,800F97930,Sole Proprietorship #4042
126:814103F30,814103F30,126,Crytpo Bank #5,800F78D30,Partnership #15159
25534:80951DF30,80951DF30,25534,Canada Bank #43,800C9A6A0,Corporation #45456
23370:81385A530,81385A530,23370,UK Bank #175,800C3B550,Sole Proprietorship #9309
210972:804140E30,804140E30,210972,Japan Bank #38,800A94700,Sole Proprietorship #30937
218202:8078A2D30,8078A2D30,218202,Spain Bank #174,8008C95B0,Corporation #52679
1655:805833BB0,805833BB0,1655,Germany Bank #10,8006AB0C0,Partnership #23751
2591:801250FB0,801250FB0,2591,France Bank #75,8006631C0,Partnership #19389
1241:802FA6CB0,802FA6CB0,1241,Flagstone Bancorp,80014BBA0,Partnership #43188
337578:80E535540,80E535540,337578,Switzerland Bank #980,800E6E5E0,Partnership #37692
310889:807C734C0,807C734C0,310889,Plandor Bancorp,8007C7870,Partnership #15089
329614:80AC3C740,80AC3C740,329614,Australia Bank #847,800D28430,Partnership #36506
31428:801456240,801456240,31428,Hearthstone Cooperative Bank,8000E8640,Corporation #1787
10:803500540,803500540,10,National Bank of Laramie,800AEFF20,Sole Proprietorship #3008
316638:806126F40,806126F40,316638,Russia Bank #72,800BA5C90,Partnership #34218
217:810F86CC0,810F86CC0,217,Israel Bank #5,800E7FA00,Partnership #37705
343603:810CF19C0,810CF19C0,343603,Israel Bank #244,800F01070,Sole Proprietorship #37719
40905:80F57E4C0,80F57E4C0,40905,Switzerland Bank #41,800DB93F0,Corporation #34854
133471:80C64AFC0,80C64AFC0,133471,Mexico Bank #42,800D3F700,Partnership #36544
128853:80FEBAAC0,80FEBAAC0,128853,China Bank #147,8009EC7A0,Sole Proprietorship #29799
17120:806F97040,806F97040,17120,Russia Bank #24,800B91AD0,Partnership #17318
6:804A80340,804A80340,6,India Bank #0,800AAE3A0,Partnership #48875
15625:80A3684D0,80A3684D0,15625,National Bank of the East,800954330,Sole Proprietorship #1120
15730:8091EB950,8091EB950,15730,Regents Trust Bank,8009E9DE0,Corporation #5193
337629:80DC36ED0,80DC36ED0,337629,Switzerland Bank #67,800DB93F0,Corporation #34854
25170:809712950,809712950,25170,Canada Bank #28,800CB9AC0,Sole Proprietorship #35096
1674:802E34550,802E34550,1674,Savings Bank of Topeka,800C16760,Sole Proprietorship #5575
139828:80ED11A50,80ED11A50,139828,Switzerland Bank #35,800E3BDE0,Sole Proprietorship #8118
115915:8136A65D0,8136A65D0,115915,Flagstone Community Bank,80045EE50,Corporation #19353
14549:801AC6AD0,801AC6AD0,14549,Savings Bank of Fairfield,80029FEC0,Sole Proprietorship #38887
21258:806D18550,806D18550,21258,Brownstone Trust Bank,80013ED20,Partnership #11401
701:802515ED0,802515ED0,701,First Bank of Springfield,8000F2980,Corporation #37255
329168:80ADAE860,80ADAE860,329168,Australia Bank #756,800CC7820,Corporation #43613
341517:80F6306E0,80F6306E0,341517,Switzerland Bank #1416,800E0FDA0,Corporation #35669
31914:801D65560,801D65560,31914,Plateau Bancorp,800F40C50,Sole Proprietorship #5149
330601:80B1DB4E0,80B1DB4E0,330601,China Bank #1027,8009963E0,Sole Proprietorship #51800
327522:809FFB160,809FFB160,327522,Sappo Trust Bank,800CB5020,Sole Proprietorship #11759
138630:81146C360,81146C360,138630,Bank of Harrisburg,8008F0530,Partnership #6680
11405:8012E46E0,8012E46E0,11405,Savings Bank of Dallas,800F25CC0,Sole Proprietorship #21536
12893:811E12EE0,811E12EE0,12893,Savings Bank of the South,800E29820,Sole Proprietorship #695
211:8076869E0,8076869E0,211,UK Bank #29,800BC5650,Partnership #34689
71:804D023E0,804D023E0,71,India Bank #2,800AC8450,Sole Proprietorship #31648
3335:8027E83E0,8027E83E0,3335,Spain Bank #450,800706790,Sole Proprietorship #23150
38478:80E2B2760,80E2B2760,38478,Switzerland Bank #22,800DF7300,Partnership #8973
23501:808DDE6E0,808DDE6E0,23501,UK Bank #8,800C3E970,Corporation #5631
251027:813BA49E0,813BA49E0,251027,Spain Bank #2297,80098D030,Sole Proprietorship #41161
2591:807BD0FE0,807BD0FE0,2591,France Bank #75,800666520,Corporation #24038
211075:8091C41E0,8091C41E0,211075,Spruce Trust Bank,8003D1720,Sole Proprietorship #12973
8798:80A412F60,80A412F60,8798,National Bank of Arkadelphia,800382280,Sole Proprietorship #41644
8623:810D0D7E0,810D0D7E0,8623,Savings Bank of Fairfield,800363620,Partnership #52465
22736:806646860,806646860,22736,Plandor Savings Bank,8001F2020,Sole Proprietorship #10264
1688:800534C60,800534C60,1688,Arbor Thrift,8000DDD60,Sole Proprietorship #38443
1362:80F2AA960,80F2AA960,1362,Golden Bancorp,80009F4A0,Partnership #42584
330462:810656F70,810656F70,330462,China Bank #931,800A04360,Partnership #30956
33172:801C0CA70,801C0CA70,33172,Germany Bank #468,8008CF110,Partnership #29512
24840:80FF08470,80FF08470,24840,Croatia Bank #36,80072C730,Sole Proprietorship #50092
225:8137070F1,8137070F1,225,Crytpo Bank #9,800FE9980,Country #1
220:800F06E70,800F06E70,220,National Bank of Pittsburgh,800E62000,Sole Proprietorship #16866
29435:80B517DF0,80B517DF0,29435,France Bank #1273,800973010,Partnership #29184
141561:80F947CF0,80F947CF0,141561,Switzerland Bank #124,800DB93F0,Corporation #34854
121415:8124D23F0,8124D23F0,121415,Italy Bank #1395,8006D4190,Sole Proprietorship #25380
1411:80D32C1F0,80D32C1F0,1411,Bank of the South,800F2CCC0,Sole Proprietorship #15340
318854:80AEEC370,80AEEC370,318854,Savings Bank of Watertown,800F7B270,Partnership #15276
11318:805CE1B70,805CE1B70,11318,First Bank of Arkadelphia,800CC82A0,Corporation #8183
1244:8010A6E70,8010A6E70,1244,Bank of Arkadelphia,800C409F0,Sole Proprietorship #2586
228054:80A5D6B70,80A5D6B70,228054,Australia Bank #23,800CE6380,Sole Proprietorship #43219
27621:80AA5F2F0,80AA5F2F0,27621,Australia Bank #20,800CDBC40,Partnership #45847
7:8000803F0,8000803F0,7,India Bank #25,800AC11C0,Sole Proprietorship #31703
113865:80AEE64F0,80AEE64F0,113865,First Bank of Danbury,80041D8A0,Sole Proprietorship #14497
7478:80E669B70,80E669B70,7478,Savings Bank of Huron,80033E7C0,Corporation #45094
337661:80E5B7E00,80E5B7E00,337661,Switzerland Bank #932,800E6E5E0,Partnership #37692
31083:80164B500,80164B500,31083,Savings Bank of Providence,8003FF620,Partnership #51216
16011:803274500,803274500,16011,Austria Bank #107,8007E1BD0,Corporation #39580
23525:801C5F200,801C5F200,23525,France Bank #100,800949CD0,Sole Proprietorship #49773
37449:80F892400,80F892400,37449,Spruce Federal Bank,800F41BD0,Sole Proprietorship #16999
21615:8128A3700,8128A3700,21615,China Bank #340,8009FF800,Sole Proprietorship #30198
124368:80D42E880,80D42E880,124368,Greece Bank #452,800982090,Partnership #29406
1:800300000,800300000,1,Arbor Savings Bank,800E7C3B0,Sole Proprietorship #12947
15:804300700,804300700,15,Japan Bank #0,800A61D00,Partnership #32491
316697:806F28C00,806F28C00,316697,Russia Bank #78,800B49C40,Sole Proprietorship #32941
3572:803CEFA80,803CEFA80,3572,Croatia Bank #169,80090A790,Corporation #22021
2439:80604C300,80604C300,2439,Savings Bank of Huron,800DCCF70,Sole Proprietorship #9962
6:804D00380,804D00380,6,India Bank #0,800AAFF00,Sole Proprietorship #48922
15863:8029EFB00,8029EFB00,15863,Germany Bank #39,8007C8350,Corporation #50421
111433:80669A400,80669A400,111433,National Bank of Danbury,8003DCBA0,Corporation #48978
333492:80D635A90,80D635A90,333492,Bank of Denver,800F97210,Sole Proprietorship #14937
34518:801AB6B90,801AB6B90,34518,Plandor Credit Union,800B8B8B0,Sole Proprietorship #1099
336357:80D40F210,80D40F210,336357,Brownstone Thrift,800CEF500,Sole Proprietorship #954
31424:80EBD6090,80EBD6090,31424,Germany Bank #4676,80080D590,Sole Proprietorship #24333
336265:813F0C410,813F0C410,336265,Bank of Lacrosse,800E2A7E0,Corporation #12248
326076:8144CDE90,8144CDE90,326076,Italy Bank #4801,80082E3D0,Corporation #24817
130584:80D370C90,80D370C90,130584,Sappo Thrift,800EC51C0,Sole Proprietorship #6943
123390:813A0FF90,813A0FF90,123390,Fieldstone Cooperative Bank,800E447E0,Sole Proprietorship #15834
3045:801FDF210,801FDF210,3045,Austria Bank #20,80089D610,Partnership #28060
36902:80A901390,80A901390,36902,France Bank #3203,8007FBD70,Corporation #41176
27:80C180D10,80C180D10,27,Mexico Bank #8,800D3F700,Partnership #36544
325562:809D3DD90,809D3DD90,325562,Canada Bank #162,800CB8B00,Corporation #33433
132725:812FB3A10,812FB3A10,132725,Savings Bank of Tampa,800E306A0,Partnership #37413
24424:809C7B490,809C7B490,24424,Bank of Dallas,800E3BFC0,Sole Proprietorship #13471
144225:81089B010,81089B010,144225,Israel Bank #253,800EDF7C0,Sole Proprietorship #13524
5175:8134A1B10,8134A1B10,5175,Germany Bank #59,80079BD50,Corporation #49847
237730:80E405190,80E405190,237730,Capital Savings Bank,8005AC770,Corporation #15783
229558:80B485B90,80B485B90,229558,Willows Savings Bank,800544950,Sole Proprietorship #13747
19746:808669190,808669190,19746,First Bank of Tuscon,80049D0D0,Partnership #13017
23402:8013DB590,8013DB590,23402,Bank of Fairfield,800256480,Partnership #3255
1729:80A7B6010,80A7B6010,1729,Willows Bancorp,8000EC840,Sole Proprietorship #14102
32672:8016FD0A0,8016FD0A0,32672,Savings Bank of Fort Wayne,800EB6420,Sole Proprietorship #19404
313185:804DBB020,804DBB020,313185,India Bank #959,800B281D0,Partnership #52143
27217:806CD2820,806CD2820,27217,Germany Bank #543,80093BE70,Sole Proprietorship #22394
6625:80294F020,80294F020,6625,Portugal Bank #128,800908550,Sole Proprietorship #23393
352604:81478AEA0,81478AEA0,352604,Savings Bank of Providence,800D50C20,Sole Proprietorship #6271
11318:808FE1BA0,808FE1BA0,11318,First Bank of Arkadelphia,800BB3930,Corporation #11147
27288:8046D4CA0,8046D4CA0,27288,Belgium Bank #226,80081DAD0,Corporation #44614
33106:80148A9B0,80148A9B0,33106,Brownstone Cooperative Bank,800AA7BC0,Sole Proprietorship #15104
1299:801828930,801828930,1299,France Bank #40,8007DABD0,Corporation #40337
16787:80660C930,80660C930,16787,Russia Bank #18,800B49C40,Sole Proprietorship #32941
238397:813A99E30,813A99E30,238397,Mountain Thrift,800D59100,Sole Proprietorship #8476
31011:8133C9130,8133C9130,31011,Brownstone Federal Bank,800F959B0,Sole Proprietorship #2411
11904:801B740B0,801B740B0,11904,Bank of Billings,800D61AC0,Sole Proprietorship #4190
121:811E03C30,811E03C30,121,Saudi Arabia Bank #6,800F0F880,Sole Proprietorship #46269
28094:80ACEDFB0,80ACEDFB0,28094,Australia Bank #27,800CF3B10,Corporation #47126
1522:80BCAF9B0,80BCAF9B0,1522,Spain Bank #23,800657000,Partnership #28011
344251:810605D40,810605D40,344251,Israel Bank #788,800E84E60,Corporation #35871
317544:806B434C0,806B434C0,317544,Russia Bank #284,800B49C40,Sole Proprietorship #32941
244818:8105629C0,8105629C0,244818,Israel Bank #206,800E7FA00,Partnership #37705
241801:812704440,812704440,241801,First Bank of Seattle,800BA4E90,Sole Proprietorship #4335
2952:801BDC4C0,801BDC4C0,2952,Sunrise Credit Union,800E6C3C0,Sole Proprietorship #4226
7:804D80340,804D80340,7,India Bank #25,800AC4EB0,Corporation #37920
246789:8134A0240,8134A0240,246789,France Bank #858,80097EF70,Corporation #54160
24144:807AF28C0,807AF28C0,24144,France Bank #52,8007660F0,Partnership #26681
113530:8058DBDD0,8058DBDD0,113530,India Bank #45,800B1D750,Corporation #48479
3666:80B5F29D0,80B5F29D0,3666,France Bank #3325,8008449D0,Sole Proprietorship #25424
35273:801F4E450,801F4E450,35273,France Bank #5169,800904A90,Corporation #26015
218897:809438850,809438850,218897,Italy Bank #1462,80063BD00,Corporation #22033
132725:813F33A50,813F33A50,132725,Savings Bank of Tampa,800CE6320,Partnership #5075
112:80EE838D0,80EE838D0,112,Switzerland Bank #11,800DB93F0,Corporation #34854
18405:806EBF250,806EBF250,18405,Russia Bank #40,800B44480,Partnership #33830
7042:80A0DC1D0,80A0DC1D0,7042,Sappo Federal Bank,800F1B690,Partnership #7274
44650:810C735D0,810C735D0,44650,Israel Bank #41,800EE6240,Sole Proprietorship #1920
39678:80F1D7FD0,80F1D7FD0,39678,Switzerland Bank #112,800E29520,Partnership #1020
126094:809CE47D0,809CE47D0,126094,Canada Bank #55,800CB0AA0,Corporation #33627
43923:8110DC950,8110DC950,43923,Italy Bank #321,800977AF0,Corporation #27236
21940:803CADAD0,803CADAD0,21940,First Bank of Tampa,8001A8580,Partnership #54460
32301:808A71660,808A71660,32301,National Bank of Tuscon,800F737B0,Partnership #39777
37546:805B955E0,805B955E0,37546,Bank of Watertown,8005E9F90,Partnership #21318
313078:804DB7BE0,804DB7BE0,313078,India Bank #1027,800ABA660,Partnership #32618
238190:80EA937E0,80EA937E0,238190,Switzerland Bank #28,800E6A380,Sole Proprietorship #37389
340685:813A16660,813A16660,340685,Bank of Lacrosse,800C464D0,Sole Proprietorship #17980
21258:8117185E0,8117185E0,21258,Brownstone Trust Bank,800E95220,Sole Proprietorship #7561
34338:80BE311E0,80BE311E0,34338,City National Thrift,800FAC910,Sole Proprietorship #4775
329707:80B8BF560,80B8BF560,329707,First Bank of Topeka,8004E1610,Corporation #37066
1502:8008AEFE0,8008AEFE0,1502,Portugal Bank #43,8008D3F70,Partnership #42013
247207:8115AD360,8115AD360,247207,Israel Bank #43,800E7FA00,Partnership #37705
41578:80F4935E0,80F4935E0,41578,Switzerland Bank #72,800DDB500,Partnership #36960
34723:80CDBD160,80CDBD160,34723,Mexico Bank #100,800D3F700,Partnership #36544
128737:80B237060,80B237060,128737,Australia Bank #284,800CCD520,Corporation #33736
128558:80A9B17E0,80A9B17E0,128558,Australia Bank #51,800D11ED0,Sole Proprietorship #35615
312381:80AF21E60,80AF21E60,312381,China Bank #319,800A248C0,Partnership #30614
218202:80BBA2DE0,80BBA2DE0,218202,Spain Bank #174,800849210,Corporation #23121
221332:810E84AE0,810E84AE0,221332,Regents Credit Union,800FB2490,Sole Proprietorship #19486
48211:812862960,812862960,48211,Saudi Arabia Bank #7,800F284E0,Partnership #12974
235580:80CEC1EE0,80CEC1EE0,235580,Brazil Bank #30,800DA3270,Partnership #13862
126107:809CE4D60,809CE4D60,126107,Canada Bank #121,800CB1480,Sole Proprietorship #3462
18049:8088B4060,8088B4060,18049,Spain Bank #1392,8008C7DF0,Corporation #24344
22:806380BE0,806380BE0,22,Germany Bank #65,800614280,Sole Proprietorship #48281
354058:8142B85F1,8142B85F1,354058,Crytpo Bank #672,8004B5CD0,Partnership #38443
314049:80C756070,80C756070,314049,National Bank of Springfield,8006760A0,Partnership #13031
321319:808839370,808839370,321319,UK Bank #994,800C49730,Corporation #51119
316632:8061A6CF0,8061A6CF0,316632,Russia Bank #74,800B44420,Corporation #31491
343336:80FDE94F0,80FDE94F0,343336,Israel Bank #85,800E1D320,Partnership #52799
21142:80BC94BF0,80BC94BF0,21142,Netherlands Bank #470,8007BDD90,Partnership #48301
16927:806D90F70,806D90F70,16927,Russia Bank #21,800B49C40,Sole Proprietorship #32941
154148:8143D12F1,8143D12F1,154148,Crytpo Bank #29,800FE9980,Country #1
240018:80F1CC9F0,80F1CC9F0,240018,Switzerland Bank #26,800DB93F0,Corporation #34854
10656:80C3CD0F0,80C3CD0F0,10656,Japan Bank #24,800A857E0,Sole Proprietorship #31282
223026:80EBB99F0,80EBB99F0,223026,France Bank #833,800737390,Partnership #27486
125164:80C8476F0,80C8476F0,125164,Ireland Bank #324,800872CD0,Corporation #22940
229220:80BCFB2F0,80BCFB2F0,229220,Germany Bank #139,800732930,Corporation #24679
15863:803CEFB70,803CEFB70,15863,Germany Bank #39,800D2E450,Sole Proprietorship #3072
154148:8143D12F0,8143D12F0,154148,Crytpo Bank #29,800FB14B0,Partnership #4832
138395:80F664D70,80F664D70,138395,Switzerland Bank #5,800E06D60,Corporation #46022
137218:80E2401F0,80E2401F0,137218,Switzerland Bank #20,800DE3DA0,Corporation #50661
13145:813A1AC70,813A1AC70,13145,First Bank of Dallas,800235460,Corporation #40221
14549:8070C6B80,8070C6B80,14549,Savings Bank of Fairfield,800E792F0,Corporation #873
115:80CF03880,80CF03880,115,Brazil Bank #6,8014E6BD0,Corporation #18817
214308:805D29300,805D29300,214308,India Bank #12,800ABA660,Partnership #32618
113865:808AE6580,808AE6580,113865,First Bank of Danbury,800F8FD90,Sole Proprietorship #12443
24850:810288800,810288800,24850,Italy Bank #84,800873B70,Corporation #24428
12719:806A8D680,806A8D680,12719,Bank of New Orleans,80019F0E0,Partnership #45907
335356:80CDEFF00,80CDEFF00,335356,Brazil Bank #54,8014E6BD0,Corporation #18817
154043:81454DC81,81454DC81,154043,Crytpo Bank #32,8004B5CD0,Partnership #38443
32564:80CB79B00,80CB79B00,32564,Mexico Bank #13,800D2A620,Corporation #34247
3:804D80080,804D80080,3,China Bank #14,800ABA660,Partnership #32618
112497:805E3B980,805E3B980,112497,India Bank #6,800AACAB0,Sole Proprietorship #31639
310468:803F66300,803F66300,310468,Japan Bank #221,800A340F0,Partnership #31646
27995:80A6EAC80,80A6EAC80,27995,Australia Bank #16,800CF0100,Corporation #33924
20727:80A887A80,80A887A80,20727,Germany Bank #164,8008F2110,Corporation #8823
23344:801B59900,801B59900,23344,Germany Bank #99,80071B210,Partnership #28903
17401:81179FD80,81179FD80,17401,National Bank of the Valley,800477110,Sole Proprietorship #19903
22828:8021C9700,8021C9700,22828,Bank of Chicago,8002016E0,Sole Proprietorship #4711
1686:800DB4A00,800DB4A00,1686,Brownstone Credit Union,800199120,Corporation #1759
11318:8019E1A00,8019E1A00,11318,First Bank of Arkadelphia,800151C20,Corporation #3204
38222:80532A610,80532A610,38222,Bank of Albany,800C9CEC0,Partnership #4919
117:80F083B90,80F083B90,117,Switzerland Bank #10,800DB93F0,Corporation #34854
29064:80AC8C510,80AC8C510,29064,Australia Bank #49,800CCD520,Corporation #33736
24922:80930AC10,80930AC10,24922,Canada Bank #33,800C7C190,Partnership #6778
213737:805517590,805517590,213737,India Bank #15,800B13BB0,Corporation #38695
4:803800310,803800310,4,China Bank #3,8009A7C40,Sole Proprietorship #43898
132499:81002C8A0,81002C8A0,132499,Savings Bank of Montpelier,800CA5720,Sole Proprietorship #9236
324846:8090A7620,8090A7620,324846,Canada Bank #703,800CBAF00,Partnership #36117
3662:800C72620,800C72620,3662,Italy Bank #4938,800973370,Sole Proprietorship #28805
122086:809B67220,809B67220,122086,National Bank of Cleveland,800C9A440,Partnership #10425
2915:800FDB0A0,800FDB0A0,2915,France Bank #85,80083AB10,Partnership #29526
39721:80FA595A0,80FA595A0,39721,Switzerland Bank #39,800DB93F0,Corporation #34854
22775:804347AA0,804347AA0,22775,Austria Bank #90,8007664B0,Sole Proprietorship #23257
13432:807D23D20,807D23D20,13432,Hearthstone Savings Bank,8009E0DF0,Sole Proprietorship #11791
217:80FD86DA0,80FD86DA0,217,Israel Bank #5,800E8AD90,Sole Proprietorship #5211
71:8053822A0,8053822A0,71,India Bank #2,800AD46E0,Sole Proprietorship #48423
3:805C800A0,805C800A0,3,China Bank #14,800ACEE10,Corporation #40568
1490:8021AE820,8021AE820,1490,Italy Bank #95,800643940,Partnership #38964
133490:813ACB820,813ACB820,133490,The Pine Federal Bank,8005824F0,Corporation #19604
116715:812D3F4A0,812D3F4A0,116715,First Bank of New Orleans,80046DE50,Sole Proprietorship #53009
2627:8049520A0,8049520A0,2627,Mountain Trust Bank,8001F81C0,Sole Proprietorship #10664
28603:80A87DCB0,80A87DCB0,28603,Australia Bank #43,800D28430,Partnership #36506
33775:80429F6B0,80429F6B0,33775,Oasis Bancorp,800F20BA0,Partnership #17389
28800:804B04130,804B04130,28800,National Bank of Montpelier,800A9F4E0,Partnership #5275
312523:80DC264B0,80DC264B0,312523,Sunrise Credit Union,8003C06A0,Corporation #50929
355170:81455B031,81455B031,355170,Crytpo Bank #294,800419300,Partnership #50846
121987:8087640B0,8087640B0,121987,UK Bank #13,800C401F0,Partnership #42244
13145:80199ADB0,80199ADB0,13145,First Bank of Dallas,8004BA570,Corporation #2145
316523:8097234B0,8097234B0,316523,Willows Credit Union,80056E770,Sole Proprietorship #19316
16787:80618C8B0,80618C8B0,16787,Russia Bank #18,800B49C40,Sole Proprietorship #32941
336022:80FE84A30,80FE84A30,336022,Savings Bank of Fort Wayne,800CB64A0,Sole Proprietorship #5855
215841:8080591B0,8080591B0,215841,First Bank of Pittsburgh,800DBC600,Corporation #7637
1547:801D304B0,801D304B0,1547,Italy Bank #49,800D1AC10,Partnership #22388
14663:801BCA2B0,801BCA2B0,14663,Germany Bank #234,80076B810,Sole Proprietorship #22319
25075:813B0F8B0,813B0F8B0,25075,National Bank of Harrisburg,800EDDB80,Partnership #11395
113744:80F962930,80F962930,113744,Savings Bank of Dallas,800FB70C0,Sole Proprietorship #6086
17401:80AE1FDB0,80AE1FDB0,17401,National Bank of the Valley,800A51800,Partnership #7112
35834:805CDFC30,805CDFC30,35834,First Bank of Lacrosse,800F54E10,Partnership #10239
143430:811382230,811382230,143430,Israel Bank #51,800EC1580,Corporation #5950
43462:81194E230,81194E230,43462,Israel Bank #9,800EBAD00,Corporation #36509
15643:80D768CB0,80D768CB0,15643,Spain Bank #114,8007BF7D0,Sole Proprietorship #27273
1:8006001B0,8006001B0,1,Arbor Savings Bank,8000571E0,Sole Proprietorship #49496
33017:802487DC0,802487DC0,33017,City National Savings Bank,8003EAC60,Sole Proprietorship #18385
321328:8087B9940,8087B9940,321328,UK Bank #807,800C47F50,Partnership #35397
13145:802E1ADC0,802E1ADC0,13145,First Bank of Dallas,800300A20,Sole Proprietorship #11296
122080:80FEE7140,80FEE7140,122080,Bank of Lacrosse,800D3AB10,Partnership #6831
1916:8093BBF40,8093BBF40,1916,Slovakia Bank #106,80094E250,Partnership #30017
16787:806D8C8C0,806D8C8C0,16787,Russia Bank #18,800B44480,Partnership #33830
122342:80B5EF240,80B5EF240,122342,France Bank #30,800930C70,Corporation #25064
13265:801C1E9C0,801C1E9C0,13265,Germany Bank #137,800921C10,Corporation #20865
26:808680C40,808680C40,26,UK Bank #32,800BD6490,Corporation #32378
21749:808027BC0,808027BC0,21749,Spain Bank #9,8006A6060,Corporation #44634
143947:8104124C0,8104124C0,143947,Sunrise Trust Bank,8005E0270,Partnership #20040
329429:80B036BD0,80B036BD0,329429,Australia Bank #644,800CFB430,Corporation #34164
6:80A100250,80A100250,6,India Bank #0,800D28430,Partnership #36506
14:80FD80650,80FD80650,14,China Bank #13,800E84E60,Corporation #35871
28711:803D012D0,803D012D0,28711,Germany Bank #360,800916610,Corporation #24382
236046:80F8D0650,80F8D0650,236046,Savings Bank of Miami,800EFD380,Corporation #1806
312299:804C1F4D0,804C1F4D0,312299,India Bank #86,800ABA660,Partnership #32618
29003:80B58A4D0,80B58A4D0,29003,The Pine Savings Bank,800C959E0,Corporation #12991
223:811B86ED0,811B86ED0,223,Saudi Arabia Bank #4,800F1C910,Partnership #2298
9:8063005D0,8063005D0,9,Russia Bank #16,800B57CF0,Sole Proprietorship #33153
110603:8146804D0,8146804D0,110603,Bank of Providence,8003C94A0,Corporation #20000
